Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2022-12-08 02:49:51,2022-12-08 02:49:51,shopify-charge.com,0.00,0.00,USD,COMPLETED,71.83
CARD_PAYMENT,Current,2022-12-08 02:50:00,2022-12-09 13:57:34,Shopify* 160741215,-1.00,0.00,USD,COMPLETED,70.83
CARD_PAYMENT,Current,2022-12-13 15:55:55,2022-12-14 12:44:22,Airbnb * Hmm8csp8qs,-54.44,0.00,USD,COMPLETED,16.39
CARD_PAYMENT,Current,2022-12-18 16:44:51,2022-12-18 16:44:51,Airbnb Inc,0.00,0.00,USD,COMPLETED,16.39
CARD_PAYMENT,Current,2022-12-19 15:23:37,2022-12-20 14:21:57,Shopify* 162083303,-11.00,0.00,USD,COMPLETED,5.39
CARD_PAYMENT,Current,2022-12-21 08:58:58,2022-12-21 08:58:58,"Printful, Inc.",0.00,0.00,USD,COMPLETED,5.39
CARD_PAYMENT,Current,2022-12-26 06:24:32,2022-12-26 06:24:32,Airbnb Inc,0.00,0.00,USD,COMPLETED,5.39
CARD_PAYMENT,Current,2023-01-02 07:36:02,2023-01-02 07:36:02,Google *temporary Hold,0.00,0.00,USD,COMPLETED,5.39
CARD_PAYMENT,Current,2023-01-02 07:36:33,2023-01-02 07:36:33,Google *temporary Hold,0.00,0.00,USD,COMPLETED,5.39
CARD_REFUND,Current,2023-01-09 00:00:00,2023-01-09 12:07:55,Refund from Airbnb * Hmcyqfkchn,236.54,0.00,USD,COMPLETED,241.93
CARD_PAYMENT,Current,2023-01-07 10:54:28,2023-01-09 12:30:36,Shopify* 164253006,-1.00,0.00,USD,COMPLETED,240.93
CARD_PAYMENT,Current,2023-01-10 13:37:28,,Airbnb * Hmdcj5htrs,-233.39,0.00,USD,PENDING,
TOPUP,Current,2023-01-10 16:02:46,2023-01-10 16:02:46,Payment from Sogang University,36.76,0.00,USD,COMPLETED,277.69
